name,categoryid,adress,placeUrl,location_x,location_y,phone,contents
장수로 소풍,HEAL,"전북 장수군 번암면 지지로 97-21 , 농장: 전북 장수군 번암면 지지로 28-35",https://sopoong77.modoo.at/,127.5425556,35.54060304,063-352-0633,"농산물과 식물을 활용한 치유농업 서비스를 제공하는 치유텃밭농장, 로컬푸드를 이용한 치유음식을 제공하는 농가레스토랑, 진로체험과 치유체험을 진행하는 체험장을 보유하고 있어 남녀노소 뿐만아니라 다양한 치유프로그램을 운영할 수 있습니다"
플라워 스케치 교육농장,HEAL,경상남도 양산시 삼호로 86-3,https://blog.naver.com/kb100422,129.1766692,35.40525856,055-372-3764,"35년 경력의 플로리스트이자 원예치료사 농부가 직접 운영하는 농촌교육농장으로 어린이·청소년을 위한 생태체험부터 자연 숲속에서 힐링하는 원예치료와 그린테리어 장식, 천연먹거리까지 체험객의 니즈에 따라 계절별 맞춤프로그램을 경험할 수 있는 공간입니다"
더자람교육농장,HEAL,충북 청주시 상당구 남일면 가산1길 16,http://thejaram.kr,127.5019391,36.57126965,010-8828-1036,"식용꽃과 화훼류를 재배하는 원예교육+원예치유 농장입니다. 원예학, 원예치료학 전공의 38년 원예 전문가가 책임감을 가지고 성실하게 운영중입니다."
슬로우파머,HEAL,충북 충주 수안보면 탑골1길 178,http://www.slowfarmer.co.kr,127.9845455,36.83225714,010-9750-7711,"순수자연주의 슬로우파머는 약 10만평 면적의 청정 숲에서 산마늘(명이나물), 자연산 두릅, 눈개승마, 머위, 취나물 등을 생산 또는 채취하여 판매 및 가공품을 만드는 자연을 활용한 치유프로그램 운영농장입니다. 사전예약시 힐링숲체험, 바베큐파티, 계절별 임산물 채취 및 건강한 산채음식체험 등 농촌체험을 하실 수 있으며, 커피와 꽃차 등도 즐기실 수 있습니다"
벗님넷,HEAL,전라북도 부안군 부안읍 선은 1길 4,https://bnnet.modoo.at,126.7347776,35.73993883,010-4054-5378,"벗은 친근함 즐거움을 의미하며 님은 존중, 배려를 뜻하고, 넷은 네트워킹을 통한 소통과 화합을 표현합니다."
먼당농장,HEAL,경남 산청군 신안면 둔철산로 438번길 31,http://cafe.daum.net/2502farm,127.9579482,35.37087006,010-2252-2502,생태를 주제로 자연의 소중함과 지속가능한 삶을 아이들에게 보여주고 전해주고자 합니다. 생태화장실을 사용하며 자연순환농업을 실천하고 똥교욱과 똥빵만들기 체험을 합니다. 퍼머컬쳐식 텃밭정원에서 꽃과 작물이 함께 자라는 모습을 볼 수 있습니다. 쉐플러 태양열 조리기로 햇볕의 소중함을 배우며 유정란 꺼내기와 닭모이 주기를 통해 동물과 교감하는 법을 배웁니다.
솔솔포도원,HEAL,전북 김제시 백산면 석정로 21-23,http://blog.naver.com/jocipodo2,126.916124,35.8534832,010-5667-9630,"힐링이 필요한 당신에게 평화로운 일상을 드릴 수 있도록 준비해 놓고 있습니다. 유럽 청포도, 와인, 체험, 교육, 휴식이 당신의 삶의 질을 높이겠지요."
물뫼힐링팜,HEAL,제주특별자치도 제주시 애월읍 예원로 51,http://blog.naver.com/hejern,126.3965579,33.46425216,010-9194-9582,"신성한 로콜푸드와 마을워킹프로그램, 명상, 의식이완요법과 여유로운 농장에서 휴양하며 디톡스와 힐링을 하는 프로그램 농업활동이 이루어지는 농촌의 모든자원을 바탕으로 학교교육과 연계된 교육프로그램 전반에 걸친 활동을 정기적으로 제공하는 농촌교육현장."
제주농촌교육농장,HEAL,제주특별자치도 서귀포시 중산간서로 212(강정동),http://교육농장.com/index.php,126.4886359,33.26145417,,"제주농촌교육농장은 농촌에서 신나게 뛰어놀면서 교과서만 보는 잘 알 수 없는 식물과 동물, 자연에 대한 모든 것을 탐구하여 배울 수 있는 곳입니다. 농촌과 자연에서 발굴된 소재를 활용하여 창의적, 과학적, 감각적 활동을 경험합니다."
에코감귤교육농장,HEAL,제주특별자치도 서귀포시 상효동 483-9,http://www.facebook.com/ecoedufarm,126.600443,33.28306539,064-763-0015,"에코감귤 교육농장은 교육농장으로 운영되며 영농활동 및 원예활동을 통해 참여자에게 관광, 치유서비스를 제공하고자 목표를 수립하였다. 30명 내외의 중, 소규모 치매노인과 정서적 도움이 필요한 어린이 및 청소년 등 사회적 약자, 초·중·고 학생, 성인을 대상으로 치유활동이 가능한 관광, 영농, 원예프로그램을 제공하고 있습니다"
